"","loci","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","12S-Eukaryota",0.30888326608767,0.0606310328061261,0.170917829690229,0.333190903480036,0.236947024166167,0.639598055297927,0.0404340107793527,0.277985297863392,0.413908249564864,0.326079622812429,0.563835110855089,0.0406094773050647,0.320662854189758,0.439947900704873,0.410707348186126,0.860488887412146,0.107448596484094,0.700048163787897,0.728635279113763,0.57879157867948,0.873984987582666,0.10314482334397,0.715929414262904,0.732604723777437,0.591055777715311,0.217642641250533,0.0656044664535865,0.115529266183135,0.349298172636955,0.0527459396129008,0.0255742874731351,0.429001798114463,0.332698041030807,0.78577785951925,0.171102864618095
"2","18s-Eukaryota",0.45217351660626,0.312698951314493,0.534337155302103,0.467263113657265,0.504182893948472,0.279682946230242,0.277968668502878,0.307965335655347,0.320727808064776,0.256648562630959,0.356287964826876,0.372945837442251,0.396199227160529,0.300209118278019,0.34120456902327,0.0146389917265476,0.0236754360997032,0.0295057051256093,0.0338156606774779,0.0336345853013681,0.0119667645499476,0.0259459459459459,0.0331992936890727,0.02260214837996,0.0237252513528572,0.382771792542046,0.335628746622039,0.471890275703674,0.161831426000987,0.434810919809834,0.202553108766321,0.123901014295507,0.281637556665804,0.0308949924954759,0.0963504818858958
"3","COI-Eukaryota",0.23879048986756,0.626573064985009,0.29468324010572,0.199514331784189,0.25823784202117,0.080687642956396,0.681346252390582,0.413871661365131,0.265306435412018,0.41711590749335,0.079689109113071,0.586327892127839,0.282873958919953,0.259109264300265,0.247971073457389,0.124811788139461,0.868718741105192,0.27027553305423,0.237466704942257,0.386913364054369,0.113998184590688,0.870763907577563,0.25062905172707,0.244724748802888,0.384980186976904,0.39783789797697,0.595550007544685,0.405985079413413,0.488638232420458,0.42035013034782,0.770943807847245,0.446602954470947,0.384537892916945,0.181655461881287,0.731929278906479
"4",NA,0.00015272743851011,9.69508943720006e-05,6.17749019474841e-05,3.16510785105002e-05,0.000632239864190134,3.1355515435165e-05,0.000251068327187211,0.000177705116130293,5.75069583419594e-05,0.000155907063261979,0.000187815204964372,0.000116793124845757,0.000263959729759636,0.000733716716843035,0.000117009333215049,6.0332721845167e-05,0.000157226311009908,0.000170598032263707,8.23552665016424e-05,0.000660471964782908,5.00632766989096e-05,0.000145323132520857,0.000242240320952963,6.8379039715441e-05,0.000238783954927262,0.00174766823045115,0.00321677937968971,0.00659537869977745,0.000232168941599837,0.0920930102294446,0.000928795913297981,0.000494233119082862,0.00112650938644377,0.0016716861039861,0.000617374589529327
