"","Gene","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","12S-Eukaryota",0.30888326608767,0.0606222190884559,0.170917829690229,0.333190903480036,0.237001947273817,0.639598055297927,0.0404145658519623,0.277967527351779,0.413908249564864,0.326071558653984,0.563835110855089,0.0406135396746245,0.320643072664343,0.439943393845433,0.410707348186126,0.860488887412146,0.107467572073354,0.700052471819014,0.728637632121378,0.578754212528567,0.873984987582666,0.103120218369152,0.715932506692533,0.732607919059667,0.591019506734816,0.217642641250533,0.0657622189604796,0.115487154236624,0.349298172636956,0.0526245772739685,0.0255742874731351,0.429001798114463,0.332725267843773,0.784976501151132,0.171096190298209
"2","18s-Eukaryota",0.45217351660626,0.312698951314493,0.534337155302103,0.467263113657265,0.504230327541442,0.279682946230242,0.277968668502878,0.307965335655347,0.320727808064776,0.256648562630959,0.356287964826876,0.372945837442251,0.396199227160529,0.300207315534243,0.34120456902327,0.0146389917265476,0.0236754360997032,0.0295057051256093,0.033815660677478,0.0336406446771918,0.0119667645499476,0.0259459459459459,0.0331992936890727,0.02260214837996,0.0237272664073292,0.382771792542046,0.33542984128726,0.471767179244641,0.161831426000987,0.435128329003965,0.202553108766321,0.123901014295507,0.281532052765564,0.03090156100669,0.0963504818858958
"3","COI-Eukaryota",0.23879048986756,0.626573064985009,0.29468324010572,0.199514331784189,0.25823784202117,0.080687642956396,0.681346252390582,0.413871661365131,0.265306435412018,0.41711590749335,0.079689109113071,0.586327892127839,0.282873958919953,0.259109264300265,0.247971073457389,0.124811788139461,0.868718741105193,0.27027553305423,0.237466704942257,0.386913364054369,0.113998184590688,0.870763907577563,0.25062905172707,0.244724748802888,0.384980186976904,0.39783789797697,0.595550007544685,0.405985079413413,0.488638232420458,0.420063061738422,0.770943807847245,0.446602954470947,0.384537892916945,0.181655461881287,0.731929278906479
"4",NA,0.00015272743851011,0.000105764612042182,6.17749019474841e-05,3.16510785105002e-05,0.000529883163571001,3.1355515435165e-05,0.000270513254577565,0.000195475627743323,5.75069583419594e-05,0.000163971221706564,0.000187815204964372,0.000112730755285904,0.000283741255174878,0.00074002632005913,0.000117009333215049,6.0332721845167e-05,0.000138250721750091,0.000166290001145936,8.00022588873098e-05,0.000691778739872006,5.00632766989096e-05,0.000169928107339203,0.000239147891323776,6.51837574857474e-05,0.000273039880950582,0.00174766823045115,0.00325793220757486,0.00676058710532198,0.000232168941599837,0.0921840319836441,0.000928795913297981,0.000494233119082862,0.00120478647371932,0.00246647596089108,0.00062404890941613
